Type,Name,Description,Price,Quantity,Image
Herbs & Spices,Black Pepper,Ground,2.49,4 oz,https://i5.walmartimages.com/seo/McCormick-Non-GMO-Kosher-Pure-Ground-Black-Pepper-16-oz-Bottle_f59e53dd-0224-49a5-badd-38435b730cd0.ab055d0f663de1d727c0aa7fb6bdfaaa.jpeg
Herbs & Spices,Garlic Powder,Spice Classics,1.99,3.12 oz,https://i5.walmartimages.com/asr/2aa97818-4b49-466f-a0a2-7eabe7d6f6c8.66277b9b129d8652d5f1d55f8d90e30f.jpeg
Herbs & Spices,Basil,Dried,1.49,0.5 oz,https://i5.walmartimages.com/seo/Fresh-Basil-0-5-oz-Clamshell_128d0434-e4df-41f5-8913-064dc5791551.13a7f8ad3d23e109db5235aa5746feb9.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Paprika,Smoked,3.29,2.5 oz,https://i5.walmartimages.com/seo/Great-Value-Paprika-2-5-oz_71f4982c-fbed-4c0c-a9da-0841f69a866b.2d7f4209a0419dd2b89031d12a576a7c.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Meat,Chicken,Boneless Skinless Breasts,2.99/lb,Family Pack,https://i5.walmartimages.com/seo/Louisiana-Fish-Fry-Products-Seasoned-Chicken-Fry-22-oz_485399ea-3778-408f-9eef-5cc00df55eb4.9e5fc2d324c49c24d71a52241f0efb2a.jpeg
Meat,Beef,Ground Chuck,4.49,1 lb,https://i5.walmartimages.com/seo/All-Natural-90-Lean-10-Fat-Ground-Beef-Sirloin-2-25-lb-Tray_52f7f05f-6957-4530-a5bf-fbb22d726aa4.a841b9bea97a6dd7ddd54a7f5eba33dc.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Meat,Pork,Loin Chops,1.99/lb,,https://i5.walmartimages.com/seo/Farmer-John-Pork-Boneless-Loin-Roast-Half-Vac_05ebb2b5-884d-470b-8e18-b38c1729dc6e.abce6b17ca00ec7f3b54f81fba5927ef.jpeg
Meat,Salmon,Wild-Caught,7.99,8 oz,https://i5.walmartimages.com/seo/Fresh-Atlantic-Salmon-Whole-Portions-0-70-1-25-lb-BAP-Certified-23g-Protein-per-Serving_6082558b-a6eb-4324-b8f8-3b455c2dd5ba.a0840cb6f5fa46cb63e0aaed93d5f932.jpeg
Meat,Shrimp,Fresh,9.99/lb,16-20 ct,https://i5.walmartimages.com/seo/Campbell-s-Condensed-Cream-of-Shrimp-Soup-10-5-oz-Can_53c4bddf-2605-4f60-a12d-f763af709a79.890d690abb2f3f8f6977c7960d10048e.jpeg
Pasta,Spaghetti,Pasta,1.29,16 oz,https://www.traderjoes.com/content/dam/trjo/context-images/75722-spaghetti-chitarra-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Pasta,Penne,Pasta,1.29,16 oz,https://i5.walmartimages.com/asr/7e0ee33e-cd3f-4010-84b9-a003049bd5c9.fabfaf94d2f3f65d0ab834f95473d27e.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Pasta,Fettuccine,Pasta,1.29,16 oz,https://i5.walmartimages.com/asr/50f7b317-e89e-47af-8b69-3f17c996f69e.c832d89e2ed52c9f509161780033f92e.jpeg
Pasta,Angel Hair,Pasta,1.29,16 oz,https://i5.walmartimages.com/asr/19f9332a-c4d1-4f2e-9553-1382f15528c5.9aa32d4abe5fdc88c2be279d1090e4cf.jpeg
Pasta,Lasagna,Pasta,1.29,16 oz,https://i5.walmartimages.com/seo/Stouffer-s-Meat-and-Sauce-Family-Size-Lasagna-Frozen-Frozen-Meal-38-oz-Frozen_11220840-56fc-4749-a8b0-1fb1b0c3c9a9.12a926369dd9e5cf296495f4c0118bb6.jpeg
Rice,White Rice,Long Grain,3.99,5 lb,https://i5.walmartimages.com/asr/867bd900-3eac-43cf-ae07-65dabc45d805.b3733ed3eb74b5de7269ddf2563398fe.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Rice,Brown Rice,Medium Grain,2.99,2 lb,https://i5.walmartimages.com/seo/Great-Value-Natural-Brown-Long-Grain-Rice-32-oz_683fd735-d4a5-4d06-8f81-0777675a8142.5d5bcb7d5a72594a05c522a925f24e4c.jpeg
Rice,Arborio Rice,Italian,3.49,1 lb,https://i5.walmartimages.com/seo/RiceSelect-Arborio-Rice-Italian-Style-Rice-for-Risotto-2-lb-Jar_259837c9-0dd3-4905-acf3-cb1109331e1b.a346f880a4554ff6384be6d0f715a340.jpeg
Rice,Jasmine Rice,Fragrant,8.99,10 lb,https://i5.walmartimages.com/seo/Golden-Star-Prime-Grade-Thai-Hom-Mali-Jasmine-Rice-20-lb_02fb670f-2219-45b0-a46a-45f954a44ecc.56484caa4606c761f9a7dddc6d793d44.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Rice,Basmati Rice,Indian,6.49,5 lb,https://i5.walmartimages.com/seo/Mahatma-Basmati-White-Rice-Fragrant-Extra-Long-Grain-Rice-2-lb-Bag_2e81f117-4c5f-4fab-a214-675d8d454940.56f36be68451584ca96a4015f7411a71.jpeg
Fruits,Peach,White,1.99/lb,,https://i5.walmartimages.com/seo/Princess-Peach-Showtime-Nintendo-Switch-With-Exclusive-Princess-Peach-Hair-Scrunchie-2-Pack_e69b8fa7-88cc-46aa-95dd-55e0ffb48f91.900b8fe3489d642d8f5951f4f267211e.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Pineapple,Whole,2.99/each,,https://i5.walmartimages.com/seo/Fresh-Pineapple-Each_1d2b3723-b31f-481d-ae30-c82fcbb59e20.d2e4de8d8b987f98a6e9da93a7e8c752.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Watermelon,Sweet Seedless,0.59/lb,,https://i5.walmartimages.com/seo/Freshness-Guaranteed-Watermelon-Chunks-42-oz_a639b244-bc64-43f1-850a-763a245b7672.59befe581d002b70da0d07284cfa943e.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Kiwi,Green,0.79/each,,https://i5.walmartimages.com/seo/Zespri-Sungold-Fresh-Kiwi-Fruit-2lb-Package_18fc5aee-8879-4637-a06d-b23d652b8bf5.5002480e3ac01f9061e4e3808a26e702.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Mango,Ripe,1.49/each,,https://i5.walmartimages.com/seo/Fresh-Mangoes-Each-Sweet_cc54242f-cb87-4a25-9baa-fccaa20f5443.64fa79325ad44a7352dcd3c2a8b477be.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Vegetables,Spinach,Baby,2.99,5 oz,https://i5.walmartimages.com/seo/Great-Value-Chopped-Spinach-12-oz-Frozen_483d73bd-e9b9-4ce7-a8ec-b79323292c33.ff8eb0e689e682aae896c4d94411a144.jpeg
Vegetables,Onion,Yellow,0.99/lb,,https://i5.walmartimages.com/seo/Fresh-Whole-White-Onions-Each_6b4eeca7-4d15-4f34-ad82-7a0fef73c251.836371068e707ee76431b139ecdbc76a.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Vegetables,Cucumber,English,0.99/each,,https://i5.walmartimages.com/asr/13ea911f-f694-4755-af92-01f9a6e51ed6.6d0a51de33980787815d4e4bdfca35e5.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Vegetables,Bell Pepper,Green,0.79/each,,https://i5.walmartimages.com/asr/5d3ca3f5-69fa-436a-8a73-ac05713d3c2c.7b334b05a184b1eafbda57c08c6b8ccf.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Vegetables,Cauliflower,Head,2.49/each,,https://www.traderjoes.com/content/dam/trjo/products/m20702/66248.png/jcr:content/renditions/cq5dam.web.1280.1280
Eggs,Egg Beaters,Original,3.49,32 oz,https://i5.walmartimages.com/asr/e4d4da8b-f13d-468d-9a7f-8a80f21dff2e.4673b3829420b2fc2ab6dd1e72aec4d5.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Milk,Rice Milk,Original,2.99,32 oz,https://i5.walmartimages.com/asr/ec7a9c14-e12d-465d-8836-cd3ed3112c13_1.99bdbd0f657f5b26e46180de60d31b24.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Grains,Tortillas,Corn,1.99,30 ct,https://i5.walmartimages.com/seo/Great-Value-Medium-Flour-Tortillas-12-oz-8-Count_71087ce0-7567-4217-aa67-3e48ea3913bf.2d99a3932302228454fe0b96ade6146d.jpeg
Grains,Bagels,Plain,2.99,6 ct,https://i5.walmartimages.com/seo/Great-Value-Pre-Sliced-Plain-Bagels-20-oz-6-Count_0d29550b-1cb2-4c4e-8b34-e8d4e3ae134f.23ca75533f81e03112ebdda97479fe2c.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Nuts,Pecans,Raw,5.99,8 oz,https://i5.walmartimages.com/seo/Great-Value-Chopped-Pecans-24-oz_f5bb96ec-59d9-4889-a65e-65cd46683548.4efc5bf7c28a1cd34f93cb3270833b30.jpeg
Nuts,Macadamia Nuts,Whole,7.49,6 oz,https://i5.walmartimages.com/seo/Kirkland-Signature-Dry-Roasted-Macadamia-Nuts-24-oz_ba07cfd2-50ed-4c05-9467-2323b5fb40ef.743b584e1a9d3a2072b399d99d3bf78b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Nuts,Hazelnuts,Filberts,4.99,8 oz,https://i5.walmartimages.com/seo/Great-Value-Hazelnut-Medium-Roast-Ground-Coffee-12-oz-Bag_04cd4f46-9aae-4dd4-b611-fc7b2e991b56.ab0bd4e67ee9f470d49ed5b478e332c6.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Nuts,Pine Nuts,Shelled,9.99,4 oz,https://i5.walmartimages.com/asr/8a524d5c-b2bf-43ce-ac4c-192ed6dc3358.1176f4896d8b64717d3b75166d0b1746.jpeg
Nuts,Chestnuts,Fresh,6.99,16 oz,https://i5.walmartimages.com/seo/Dynasty-Water-Chestnuts-Sliced-8-Oz_79d8a1b0-e877-4230-b356-9aa653c90691.faa70942c1bb4e6542fbf7b3c54c4894.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Yeast,Active Dry,1.99,3 packets,https://i5.walmartimages.com/seo/Fleischmann-s-Active-Dry-Yeast-4-Oz_82677eee-7718-49db-8f21-dcd6d712f466.eaec2194f0641a96d73609d4d03b1c77.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Cocoa Powder,Unsweetened,3.49,8 oz,https://i5.walmartimages.com/seo/Hershey-s-Natural-Unsweetened-Cocoa-Powder-Can-8-oz_fb54ea6c-282c-47de-8468-5969294819cb.67d152703f860ff522bf06011aa998ca.jpeg
Baking Products,Cornstarch,16 oz,1.29,,https://i5.walmartimages.com/seo/Argo-Cornstarch-100-Cornstarch-Gluten-free_8f4b2db7-3d26-4821-98a6-55f3812f3e88_5.a82fecc21f0fc5149ae428cc024704d8.png
Baking Products,Baking Powder,Double Acting,1.99,8.1 oz,https://i5.walmartimages.com/seo/Great-Value-Double-Acting-Baking-Powder-8-1-oz_ace24ba2-950f-4c21-b0bd-c7dd77f819b2.5967e27d197c34c6c60f8d424635d804.jpeg
Baking Products,Cornmeal,Yellow,1.99,24 oz,https://i5.walmartimages.com/seo/Great-Value-Enriched-Yellow-Corn-Meal-80-oz_a451ba07-a652-43a9-83a4-c46b6d8afd2d.0a36f995d0f71a131d9bb24ad4639f81.jpeg
Herbs & Spices,Oregano,Dried,1.49,0.75 oz,https://i5.walmartimages.com/seo/Fresh-Oregano-75-oz_54aa4434-2b0e-4b7c-b033-e61e918fc282.3c3bc3b28f929eebb771f1d44cdb2ebf.jpeg
Herbs & Spices,Cinnamon,Ground,2.49,2.37 oz,https://i5.walmartimages.com/seo/Great-Value-Cinnamon-Sticks-0-75-oz_2498b218-cee9-4a19-9d73-93c511587046.55e68b8c98e7914adc56c9540a4215f8.jpeg
Herbs & Spices,Thyme,Dried,1.99,0.75 oz,https://i5.walmartimages.com/asr/42a38cc8-2712-4783-88cc-334a186ce53b.5c9478d109a0822ac997750831ae39d4.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Chili Powder,Ground,1.79,2.5 oz,https://i5.walmartimages.com/asr/d781522a-aa03-4341-9565-1010fee746df.765bc4b34b08a5235504a880821cbd77.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Ground Ginger,Spice Islands,2.99,1.5 oz,https://i5.walmartimages.com/seo/Great-Value-Organic-Ground-Ginger-1-6-oz_8fc9a814-917f-48fc-a64e-8a0fcd85ca93.0afe3091605fb9d19050483f09bcd68e.jpeg
Meat,Ground Turkey,85% Lean,4.99,1 lb,https://i5.walmartimages.com/seo/Foster-Farms-Fresh-Natural-93-Lean-Ground-Turkey-20g-Protein-per-4-oz-Serving-1-lb-Tray_79864ba4-3572-4b15-ba89-aa81a2a00b07.bd14a015532bcf6ed0cb99a1c2e538b0.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Pasta,Linguine,Pasta,1.29,16 oz,https://i5.walmartimages.com/asr/e7a739c0-54ec-4dbf-9956-460fa0d1cdf2.e89b525b325d8cb6275c1fc36813c674.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Pasta,Rotini,Pasta,1.29,16 oz,https://i5.walmartimages.com/seo/Barilla-Whole-Grain-Rotini-Pasta-16-oz_dfad0ae1-64a0-4ad5-ab08-81cdb8ec94ba.4fcaf2d13fd90e13eb7510fb1c1f341e.jpeg
Pasta,Orzo,Pasta,1.29,16 oz,https://www.traderjoes.com/content/dam/trjo/products/m20901/03029.png/jcr:content/renditions/cq5dam.web.1280.1280
Pasta,Shells,Pasta,1.29,16 oz,https://i5.walmartimages.com/seo/Freshness-Guaranteed-Vanilla-Dessert-Shells-5-oz-6-Count_ed35b573-2736-4f05-b7a9-d3449d3a9b2f.d80edde496b9e4b43a8379764dc0c779.jpeg
Pasta,Macaroni,Pasta,1.29,16 oz,https://i5.walmartimages.com/seo/Great-Value-Deluxe-Original-Cheddar-Macaroni-Cheese-14-oz_e764a95c-6ee8-408d-a6ba-bf5a78986eee.4b7cf8ba440e1bdf5cd4ebb923613ecd.jpeg
Rice,Wild Rice,Long Grain,3.99,16 oz,https://i5.walmartimages.com/seo/Rice-A-Roni-Long-Grain-Wild-Rice-Mix-Packaged-Meal-4-3-oz-Shelf-Stable-Box_5c06ae98-b4a5-494d-b379-340b744a9641.c8919dd11f3086bd7cefaab639db6d24.jpeg
Rice,Black Rice,Forbidden,4.99,16 oz,https://i5.walmartimages.com/seo/MRM-Raw-Organic-Black-Rice-Powder-6-Oz_2b9598c6-3b14-4780-b67e-3adf6b37822f.1fb9308db24ac317d9b966d6e09b8fc2.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Rice,Sticky Rice,Glutinous,8.99,5 lb,https://i5.walmartimages.com/seo/Three-Ladies-Brand-Thai-Sweet-Glutinous-Rice-Sanpatong-5-lbs-2-27-Kgs_330e7c80-85a7-469a-bb28-cb85eb14633d_1.b6f4d82f1d195838cc6cf9fc3711b936.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Plum,Red,2.49/lb,,https://i5.walmartimages.com/seo/Fresh-Plum-Each_0a5dffd1-b77e-49e3-8ee6-ebc37c949452.f3202fa20364886dfa607ce9223cfb47.jpeg
Fruits,Cantaloupe,Whole,2.99/each,,https://i5.walmartimages.com/seo/Cantaloupe-each_fb4c18a5-9367-4770-b99f-7518c72db482.5609c32e87a3110b734aad048bf9fe35.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Lemon,Seedless,0.79/each,,https://i5.walmartimages.com/seo/Fresh-Lemon-Each_f025c57c-13e1-4a1a-ac81-0695aaf2473d.7f3c9f067735c2730223c9147a646f7c.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Fruits,Pear,Bartlett,1.29/each,,https://i5.walmartimages.com/seo/Fresh-Bartlett-Pears-Each_6689d57d-1612-439e-8bf0-84670e942819.21f4f05ece3924be6986e91179ce571b.jpeg
Fruits,Cherry,Tart,2.99/lb,,https://i5.walmartimages.com/asr/969b9b28-a551-40f0-a4d1-a4dd13db2230_1.23035fd18c0bd2fdd145ac94e4cfd4af.jpeg
Vegetables,Kale,Organic,1.99/bunch,,https://www.traderjoes.com/content/dam/trjo/products/m20702/65311.png/jcr:content/renditions/cq5dam.web.1280.1280
Vegetables,Cabbage,Green,0.59/lb,,https://i5.walmartimages.com/seo/Organic-Fresh-Green-Cabbage-Each_32590b14-fa27-4602-9308-76c9e4c2073e.ee5b548e16cf1c47dc1e51e5bc19b1ca.jpeg
Vegetables,Zucchini,Green,0.99/lb,,https://i5.walmartimages.com/seo/Great-Value-Zucchini-Blend-10-oz-Frozen_d8709cc9-253d-421b-bed9-879d54c52955.a48ec5473786901275006534ae2176d8.jpeg
Vegetables,Green Beans,Fresh,1.99/lb,,https://i5.walmartimages.com/seo/Fresh-Green-Beans-32-oz_8196efcf-081d-4b42-96ab-56f626ac2342.c769ed344cf9ec9f2c75fb12b9aee3ab.jpeg
Vegetables,Asparagus,Organic,3.99/lb,,https://i5.walmartimages.com/seo/Marketside-Fresh-Asparagus-Spears-10-oz_5318501a-8f49-4903-9798-4b9d5fc85ab8.30bf6d816092cae3f0d0f7b284763c14.jpeg
Milk,Goat Milk,Whole,4.99,32 oz,https://i5.walmartimages.com/asr/7135967c-8d94-4f18-be88-94bd3344a051.987c0821cce56c10b579c7ebc0f8dc6f.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Milk,Hemp Milk,Vanilla,3.99,64 oz,https://i5.walmartimages.com/seo/Pacific-Foods-Original-Hemp-Milk-Plant-Based-Milk-32-oz-Carton_b59504a2-6af6-4fa4-9ee2-562039f1df0e.2370d2bbeb058e9757ea4eac70bb8f5f.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Milk,Condensed Milk,Sweetened,1.99,14 oz,https://i5.walmartimages.com/seo/Great-Value-Sweetened-Condensed-Milk-14-oz_c1ecf1b1-2a04-41f4-974a-7b2655491160.388f5d98d667b97b945c1d73b0750e4d.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Nuts,Brazil Nuts,Raw,8.99,12 oz,https://i5.walmartimages.com/seo/Freshness-Guaranteed-Raw-Brazil-Nuts-8-oz_ad9bbb99-4308-4d93-8eeb-78e77f7c2262.24dc68703c92937271ef508c2ec8a382.jpeg
